step,x,y,psi,K,Kcmd,ds,wp_index,detour_wp_x,detour_wp_y,detour_kf,detour_obs_idx
245,14.4781,4.14783,0.789822,0.0714299,0,0.00999999,0,nan,nan,nan,-1
246,14.4851,4.15493,0.790536,0.0713584,0,0.00999999,0,nan,nan,nan,-1
247,14.4921,4.16204,0.791249,0.071287,0,0.00999999,0,nan,nan,nan,-1
248,14.4992,4.16916,0.791961,0.0712156,0,0.00999999,0,nan,nan,nan,-1
249,14.5062,4.17628,0.792673,0.0711442,0,0.00999999,0,nan,nan,nan,-1
250,14.5132,4.1834,0.793384,0.0710727,0,0.00999999,0,nan,nan,nan,-1
251,14.5202,4.19053,0.794095,0.0710013,0,0.00999999,0,nan,nan,nan,-1
252,14.5272,4.19767,0.794804,0.0709299,0,0.00999999,0,nan,nan,nan,-1
253,14.5342,4.20481,0.795513,0.0708584,0,0.00999999,0,nan,nan,nan,-1
254,14.5412,4.21195,0.796222,0.070787,0,0.00999999,0,nan,nan,nan,-1
255,14.5482,4.2191,0.796929,0.0707156,0,0.00999999,0,nan,nan,nan,-1
256,14.5552,4.22625,0.797636,0.0706442,0,0.00999999,0,nan,nan,nan,-1
257,14.5622,4.23341,0.798342,0.0705727,0,0.00999999,0,nan,nan,nan,-1
258,14.5692,4.24058,0.799047,0.0705013,0,0.00999999,0,nan,nan,nan,-1
259,14.5761,4.24775,0.799752,0.0704299,0,0.00999999,0,nan,nan,nan,-1
260,14.5831,4.25492,0.800456,0.0703584,0,0.00999999,0,nan,nan,nan,-1
261,14.5901,4.2621,0.801159,0.070287,0,0.00999999,0,nan,nan,nan,-1
262,14.597,4.26928,0.801862,0.0702156,0,0.00999999,0,nan,nan,nan,-1
263,14.604,4.27647,0.802563,0.0701442,0,0.00999999,0,nan,nan,nan,-1
264,14.6109,4.28367,0.803264,0.0700727,0,0.00999999,0,nan,nan,nan,-1
265,14.6179,4.29087,0.803965,0.0700013,0,0.00999999,0,nan,nan,nan,-1
266,14.6248,4.29807,0.804665,0.0699299,0,0.00999999,0,nan,nan,nan,-1
267,14.6317,4.30528,0.805363,0.0698584,0,0.00999999,0,nan,nan,nan,-1
268,14.6386,4.31249,0.806062,0.069787,0,0.00999999,0,nan,nan,nan,-1
269,14.6456,4.31971,0.806759,0.0697156,0,0.00999999,0,nan,nan,nan,-1
270,14.6525,4.32693,0.807456,0.0696442,0,0.00999999,0,nan,nan,nan,-1
271,14.6594,4.33416,0.808152,0.0695727,0,0.00999999,0,nan,nan,nan,-1
272,14.6663,4.34139,0.808847,0.0695013,0,0.00999999,0,nan,nan,nan,-1
273,14.6732,4.34863,0.809542,0.0694299,0,0.00999999,0,nan,nan,nan,-1
274,14.6801,4.35587,0.810236,0.0693584,0,0.00999999,0,nan,nan,nan,-1
275,14.687,4.36312,0.810929,0.069287,0,0.00999999,0,nan,nan,nan,-1
276,14.6939,4.37037,0.811622,0.0692156,0,0.00999999,0,nan,nan,nan,-1
277,14.7008,4.37763,0.812314,0.0691442,0,0.00999999,0,nan,nan,nan,-1
278,14.7076,4.38489,0.813005,0.0690727,0,0.00999999,0,nan,nan,nan,-1
279,14.7145,4.39215,0.813695,0.0690013,0,0.00999999,0,nan,nan,nan,-1
280,14.7214,4.39942,0.814385,0.0689299,0,0.00999999,0,nan,nan,nan,-1
281,14.7282,4.4067,0.815074,0.0688584,0,0.00999999,0,nan,nan,nan,-1
282,14.7351,4.41398,0.815762,0.068787,0,0.00999999,0,nan,nan,nan,-1
283,14.7419,4.42127,0.816449,0.0687156,0,0.00999999,0,nan,nan,nan,-1
284,14.7488,4.42855,0.817136,0.0686442,0,0.00999999,0,nan,nan,nan,-1
285,14.7556,4.43585,0.817822,0.0685727,0,0.00999999,0,nan,nan,nan,-1
286,14.7625,4.44315,0.818508,0.0685013,0,0.00999999,0,nan,nan,nan,-1
287,14.7693,4.45045,0.819192,0.0684299,0,0.00999999,0,nan,nan,nan,-1
288,14.7761,4.45776,0.819876,0.0683584,0,0.00999999,0,nan,nan,nan,-1
289,14.7829,4.46507,0.820559,0.068287,0,0.00999999,0,nan,nan,nan,-1
290,14.7897,4.47239,0.821242,0.0682156,0,0.00999999,0,nan,nan,nan,-1
291,14.7966,4.47971,0.821924,0.0681442,0,0.00999999,0,nan,nan,nan,-1
292,14.8034,4.48704,0.822605,0.0680727,0,0.00999999,0,nan,nan,nan,-1
293,14.8102,4.49437,0.823285,0.0680013,0,0.00999999,0,nan,nan,nan,-1
294,14.817,4.50171,0.823965,0.0679299,0,0.00999999,0,nan,nan,nan,-1
295,14.8237,4.50905,0.824644,0.0678584,0,0.00999999,0,nan,nan,nan,-1
296,14.8305,4.51639,0.825322,0.067787,0,0.00999999,0,nan,nan,nan,-1
297,14.8373,4.52374,0.826,0.0677156,0,0.00999999,0,nan,nan,nan,-1
298,14.8441,4.5311,0.826676,0.0676442,0,0.00999999,0,nan,nan,nan,-1
299,14.8509,4.53846,0.827352,0.0675727,0,0.00999999,0,nan,nan,nan,-1
300,14.8576,4.54582,0.828028,0.0675013,0,0.00999999,0,nan,nan,nan,-1
